Unnamed: 0,Time (UTCG),Lat (deg),Lon (deg),Alt (km),required_eta_deg,can_access_0_0
Increasing Lat,13:55.7,0,4.18,668.197469,34.16512071,TRUE
Increasing Lat,45:27.7,0,-3.703,668.192533,31.15696181,TRUE
Increasing Lat,10:25.6,0,5.057,668.132865,39.05790272,TRUE
Increasing Lat,41:57.6,0,-2.826,668.130538,24.9543077,TRUE
Increasing Lat,06:55.4,0,5.933,668.064336,43.19517467,TRUE
Increasing Lat,38:27.3,0,-1.949,668.063742,17.89732173,TRUE
Increasing Lat,03:25.7,0,6.808,668.018376,46.68025481,TRUE
Increasing Lat,34:58.0,0,-1.077,668.021334,10.15740759,TRUE
Increasing Lat,59:56.5,0,7.68,667.949857,49.60787232,TRUE
Increasing Lat,31:28.8,0,-0.204,667.955874,1.946900808,TRUE
Increasing Lat,27:59.4,0,0.669,667.890417,6.357033774,TRUE
Increasing Lat,59:31.7,0,-7.215,667.870801,48.10883445,TRUE
Increasing Lat,24:29.9,0,1.542,667.82694,14.36182083,TRUE
Increasing Lat,56:02.1,0,-6.342,667.812172,44.89854711,TRUE
Increasing Lat,21:00.3,0,2.416,667.769057,21.75701207,TRUE
Increasing Lat,52:32.5,0,-5.468,667.759967,41.08631012,TRUE
Increasing Lat,17:30.6,0,3.29,667.717049,28.34521695,TRUE
Increasing Lat,49:02.7,0,-4.593,667.713479,36.56889235,TRUE